movieName,startPhoneTime,serverTime,isWithTime,dataFileName
2024_0217_150242_002.MP4,2024-02-17 15:02:41,2024-02-17 15:00:42,False,1
2024_0217_150637_003.MP4,2024-02-17 15:06:37,2024-02-17 15:04:38,False,2
2024_0217_151930_004.MP4,2024-02-17 15:19:30,2024-02-17 15:17:31,True,3
2024_0217_153426_006.MP4,2024-02-17 15:34:26,2024-02-17 15:32:27,False,4-5
2024_0217_154840_007.MP4,2024-02-17 15:48:40,2024-02-17 15:46:41,True,6
2024_0224_164444_001.MP4,2024-02-24 16:44:44,2024-02-24 16:44:46,True,1_sp-2_sp
2024_0224_170418_002.MP4,2024-02-24 17:04:18,2024-02-24 17:04:20,True,3_sp-4_sp-5_sp
2024_0224_173004_004.MP4,2024-02-24 17:30:04,2024-02-24 17:30:06,True,6_sp-7_sp
2024_0225_124401_005.MP4,2024-02-25 12:44:01,2024-02-25 12:44:03,True,1
2024_0225_125743_006.MP4,2024-02-25 12:57:43,2024-02-25 12:57:45,True,2-3
2024_0225_131705_007.MP4,2024-02-25 13:17:05,2024-02-25 13:17:07,True,4-5-6-7-8
2024_0225_133248_009.MP4,2024-02-25 13:32:48,2024-02-25 13:32:50,True,9-11-12
2024_0225_135526_010.MP4,2024-02-25 13:55:26,2024-02-25 13:55:28,True,
2024_0225_145123_011.MP4,2024-02-25 14:51:23,2024-02-25 14:51:25,True,13
2024_0225_150628_012.MP4,2024-02-25 15:06:28,2024-02-25 15:06:30,True,14-15
2024_0225_151830_013.MP4,2024-02-25 15:18:30,2024-02-25 15:18:32,True,
2024_0225_153940_014.MP4,2024-02-25 15:39:40,2024-02-25 15:39:41,True,16-17
2024_0225_162130_017.MP4,2024-02-25 16:21:30,2024-02-25 16:21:31,True,23-24_sp-25
2024_0225_163247_018.MP4,2024-02-25 16:32:47,2024-02-25 16:32:48,True,26
2024_0317_124103_003.MP4,2024-03-17 12:41:03,2024-03-17 12:41:03,True,1-2
2024_0317_130227_004.MP4,2024-03-17 13:02:27,2024-03-17 13:02:27,True,3-4-5-6-7-8
2024_0319_101241_009.MP4,2024-03-19 10:12:41,2024-03-19 10:12:36,True,1
2024_0319_104255_011.MP4,2024-03-19 10:42:55,2024-03-19 10:42:50,False,
2024_0319_110627_012.MP4,2024-03-19 11:06:27,2024-03-19 11:06:22,True,
2024_0319_113630_013.MP4,2024-03-19 11:36:30,2024-03-19 11:36:25,True,5
2024_0319_122014_017.MP4,2024-03-19 12:20:14,2024-03-19 12:20:09,True,7-8-9-10
2024_0319_124022_018.MP4,2024-03-19 12:40:22,2024-03-19 12:40:17,True,11-12-13_sp-14-15
2024_0319_130443_019.MP4,2024-03-19 13:04:43,2024-03-19 13:04:38,True,16-17-18
2024_0320_101559_020.MP4,2024-03-20 10:15:59,2024-03-20 10:15:59,True,1-2
2024_0320_110254_022.MP4,2024-03-20 11:02:54,2024-03-20 11:02:54,True,5-6-7
2024_0320_111755_023.MP4,2024-03-20 11:17:55,2024-03-20 11:17:55,False,8
2024_0320_114404_024.MP4,2024-03-20 11:44:04,2024-03-20 11:44:04,True,9-10-11-12
2024_0320_134611_025.MP4,2024-03-20 13:46:11,2024-03-20 13:46:11,True,13-14-15
2024_0320_135848_026.MP4,2024-03-20 13:58:48,2024-03-20 13:58:48,True,16-17-18
2024_0320_142001_028.MP4,2024-03-20 14:20:01,2024-03-20 14:20:01,False,20
2024_0320_143754_029.MP4,2024-03-20 14:37:54,2024-03-20 14:37:54,True,21-22-23-24-25
2024_0320_150017_030.MP4,2024-03-20 15:00:17,2024-03-20 15:00:17,True,26
2024_0321_143302_031.MP4,2024-03-21 14:33:02,2024-03-21 14:32:58,False,
2024_0321_144803_032.MP4,2024-03-21 14:48:03,2024-03-21 14:47:59,False,
2024_0321_170029_035.MP4,2024-03-21 17:00:29,2024-03-21 17:00:25,False,
2024_0322_095516_036.MP4,2024-03-22 09:55:16,2024-03-22 09:55:11,True,1-2
2024_0322_100957_038.MP4,2024-03-22 10:09:57,2024-03-22 10:09:52,True,3
2024_0322_124754_002.MP4,2024-03-22 12:47:54,2024-03-22 12:47:48,True,4-6-7-8-9
2024_0322_132823_005.MP4,2024-03-22 13:28:23,2024-03-22 13:28:17,True,
2024_0225_155050_015.MP4,2024-02-25 15:50:50,2024-02-25 15:50:51,True,18-19
2024_0225_160600_016.MP4,2024-02-25 16:06:00,2024-02-25 16:06:01,True,20-21_sp-22-10
2024_0225_165144_019.MP4,2024-02-25 16:51:44,2024-02-25 16:51:45,True,27-28
2024_0319_102824_010.MP4,2024-03-19 10:28:24,2024-03-19 10:28:19,True,2-3
2024_0319_114327_014.MP4,2024-03-19 11:43:27,2024-03-19 11:43:22,True,
2024_0319_115305_015.MP4,2024-03-19 11:53:05,2024-03-19 11:53:00,True,6
2024_0319_120403_016.MP4,2024-03-19 12:04:03,2024-03-19 12:03:58,True,
2024_0320_103855_021.MP4,2024-03-20 10:38:55,2024-03-20 10:38:55,True,3-4
2024_0320_141255_027.MP4,2024-03-20 14:12:55,2024-03-20 14:12:55,True,19
2024_0321_152517_033.MP4,2024-03-21 15:25:17,2024-03-21 15:25:14,True,
2024_0321_164528_034.MP4,2024-03-21 16:45:28,2024-03-21 16:45:25,True,1-2
2024_0322_130159_003.MP4,2024-03-22 13:01:59,2024-03-22 13:01:53,True,10-5
2024_0319_102824_010.MP4,2024-03-19 10:28:24,2024-03-19 10:28:19,True,4
